Case,Name,Rank,Badge,Incident Date,Location,Precinct,Allegation,Disposition,Discipline,
201004-0009,JAMES R BRASKIE,Police Officer,1085,2010-01-04 3:44:00,Street/Alley,9,Injury during arrest,Officers Actions within Policy,,
201004-0013,JAMES R BRASKIE,Police Officer,1085,2010-03-20 1:49:00,Street/Alley,9,Force,Unfounded,,
201004-0066,JAMES R BRASKIE,Police Officer,1085,2010-04-04 2:40:00,Business Building Or Property,9,Force,Unfounded,,
201004-0067,JAMES R BRASKIE,Police Officer,1085,2010-04-04 0:15:00,Business Building Or Property,9,Force,Unfounded,,
201102-0010,JAMES R BRASKIE,Police Officer,1085,2011-01-08 1:45:00,Police Headquarters,H,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201112-0187,JAMES R BRASKIE,Police Officer,1085,2011-09-03 23:33:00,Private Residence or Property,9,Striking Hands / Feet,Officers Actions within Policy,,
201112-0187,JAMES R BRASKIE,Police Officer,1085,2011-09-03 23:33:00,Private Residence or Property,9,Injury during arrest,Officers Actions within Policy,,
201202-0198,JAMES R BRASKIE,Police Officer,1085,2012-02-18 1:30:00,Private Residence or Property,9,"Injury during contact with officers, no arrest made",Officers Actions within Policy,,
201305-0085,JAMES R BRASKIE,Police Officer,1085,2013-05-04 23:42:00,Private Residence or Property,9,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200906-0080,ERIC S CLOUSE,Police Officer,1088,2009-06-04 21:30:00,Private Residence or Property,19,Force,Unfounded,,
200906-0099,ERIC S CLOUSE,Police Officer,1088,2009-05-13 20:07:00,Street/Alley,19,Individual Issued Mace,Officers Actions within Policy,,
200908-0183,ERIC S CLOUSE,Police Officer,1088,2009-08-19 16:17:00,Street/Alley,19,Injury during arrest,Officers Actions within Policy,,
200909-0257,ERIC S CLOUSE,Police Officer,1088,2009-08-28 18:25:00,Street/Alley,19,Striking Hands / Feet,Officers Actions within Policy,,
200909-0257,ERIC S CLOUSE,Police Officer,1088,2009-08-28 18:25:00,Street/Alley,19,Injury during arrest,Officers Actions within Policy,,
200912-0089,ERIC S CLOUSE,Police Officer,1088,2009-11-19 17:10:00,Private Residence or Property,F,Injury during arrest,Officers Actions within Policy,,
200912-0205,ERIC S CLOUSE,Police Officer,1088,2009-12-13 2:30:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
201004-0195,ERIC S CLOUSE,Police Officer,1088,2010-04-01 22:12:00,Street/Alley,19,Striking Hands / Feet,Officers Actions within Policy,,
201007-0080,ERIC S CLOUSE,Police Officer,1088,2010-06-02 22:02:00,Private Residence or Property,19,Striking Hands / Feet,Officers Actions within Policy,,
201007-0080,ERIC S CLOUSE,Police Officer,1088,2010-06-02 22:02:00,Private Residence or Property,19,Injury during arrest,Officers Actions within Policy,,
201108-0214,ERIC S CLOUSE,Police Officer,1088,2011-08-19 18:52:00,Private Residence or Property,19,Injury during arrest,Officers Actions within Policy,,
201208-0393,ERIC S CLOUSE,Police Officer,1088,2012-03-29 19:10:00,Private Residence or Property,19,Striking Hands / Feet,Officers Actions within Policy,,
201208-0393,ERIC S CLOUSE,Police Officer,1088,2012-03-29 19:10:00,Private Residence or Property,19,Injury during arrest,Officers Actions within Policy,,
201401-0090,ERIC S CLOUSE,Police Officer,1088,2013-11-29 21:10:00,Street/Alley,19,Individual Issued Mace,Officers Actions within Policy,,
201404-0046,ERIC S CLOUSE,Police Officer,1088,2014-02-26 21:06:00,Private Residence or Property,19,Striking Hands / Feet,Officers Actions within Policy,,
201404-0046,ERIC S CLOUSE,Police Officer,1088,2014-02-26 21:06:00,Private Residence or Property,19,Injury during arrest,Officers Actions within Policy,,
201502-0034,ERIC S CLOUSE,Police Officer,1088,2014-10-31 22:38:00,Street/Alley,19,Striking Hands / Feet,Officers Actions within Policy,,
201511-1021,ERIC S CLOUSE,Police Officer,1088,2015-11-23 17:08:00,Street / Alley,19,Force,Pending,,
200205-0231,DANIEL D GRANT,Police Officer,1091,2002-05-18 12:30:00,Unknown,18,Force,Unfounded,,
201209-0263,DANIEL D GRANT,Police Officer,1091,2012-06-26 18:00:00,Business Building Or Property,1,Individual Issued Mace,Officers Actions within Policy,,
200405-0125,LAWRENCE B BISUTTI,Police Officer,1094,2004-05-16 14:00:00,Police Headquarters,H,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200311-0089,TIMOTHY D KELLER,Police Officer,1098,2003-09-01 16:12:00,Business Building Or Property,18,Individual Issued Mace,Officers Actions within Policy,,
200402-0091,TIMOTHY D KELLER,Police Officer,1098,2004-01-12 18:45:00,Private Residence or Property,18,Individual Issued Mace,Officers Actions within Policy,,
200402-0161,TIMOTHY D KELLER,Police Officer,1098,2004-02-16 18:30:00,Private Residence or Property,18,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200405-0099,TIMOTHY D KELLER,Police Officer,1098,2004-04-13 17:15:00,Bar,18,Striking Hands / Feet,Officers Actions within Policy,,
200405-0099,TIMOTHY D KELLER,Police Officer,1098,2004-04-13 17:15:00,Bar,18,Striking Weapon,Officers Actions within Policy,,
200405-0099,TIMOTHY D KELLER,Police Officer,1098,2004-04-13 17:15:00,Bar,18,Individual Issued Mace,Officers Actions within Policy,,
200406-0054,TIMOTHY D KELLER,Police Officer,1098,2004-04-29 19:00:00,Street/Alley,18,"Injury during contact with officers, no arrest made",Officers Actions within Policy,,
200406-0201,TIMOTHY D KELLER,Police Officer,1098,2004-06-28 7:26:00,Street/Alley,18,Individual Issued Mace,Officers Actions within Policy,,
200407-0198,TIMOTHY D KELLER,Police Officer,1098,2004-06-05 12:25:00,Street/Alley,18,Individual Issued Mace,Officers Actions within Policy,,
200501-0027,TIMOTHY D KELLER,Police Officer,1098,2004-12-28 0:09:00,Private Residence or Property,11,Striking Weapon,Officers Actions within Policy,,
200504-0244,TIMOTHY D KELLER,Police Officer,1098,2005-04-05 19:21:00,Street/Alley,18,Individual Issued Mace,Officers Actions within Policy,,
200504-0264,TIMOTHY D KELLER,Police Officer,1098,2005-04-05 19:21:00,Street/Alley,18,Individual Issued Mace,Officers Actions within Policy,,
200508-0023,TIMOTHY D KELLER,Police Officer,1098,2005-07-14 16:07:00,Private Residence or Property,18,Injury during arrest,Officers Actions within Policy,,
200508-0141,TIMOTHY D KELLER,Police Officer,1098,2005-08-03 15:32:00,Street/Alley,18,Individual Issued Mace,Officers Actions within Policy,,
200509-0183,TIMOTHY D KELLER,Police Officer,1098,2005-08-04 19:00:00,Street/Alley,18,Injury during arrest,Officers Actions within Policy,,
200607-0194,TIMOTHY D KELLER,Police Officer,1098,2006-07-26 22:30:00,Private Residence or Property,18,Striking Hands / Feet,Officers Actions within Policy,,
200607-0194,TIMOTHY D KELLER,Police Officer,1098,2006-07-26 22:30:00,Private Residence or Property,18,Striking Weapon,Officers Actions within Policy,,
200607-0194,TIMOTHY D KELLER,Police Officer,1098,2006-07-26 22:30:00,Private Residence or Property,18,Individual Issued Mace,Officers Actions within Policy,,
200607-0194,TIMOTHY D KELLER,Police Officer,1098,2006-07-26 22:30:00,Private Residence or Property,18,Injury during arrest,Officers Actions within Policy,,
200607-0194,TIMOTHY D KELLER,Police Officer,1098,2006-07-26 22:30:00,Private Residence or Property,18,Use of Mace,Unfounded,,
200705-0029,TIMOTHY D KELLER,Police Officer,1098,2006-08-16 16:37:00,Street/Alley,18,Firearm Used,Officers Actions within Policy,,
200801-0234,TIMOTHY D KELLER,Police Officer,1098,2008-01-24 19:08:00,Business Building Or Property,18,Force,Unfounded,,
200802-0226,TIMOTHY D KELLER,Police Officer,1098,2008-01-24 19:08:00,Business Building Or Property,18,Injury during arrest,Officers Actions within Policy,,
201002-0195,TIMOTHY D KELLER,Police Officer,1098,2010-02-23 21:08:00,Street/Alley,18,Individual Issued Mace,Officers Actions within Policy,,
201006-0092,TIMOTHY D KELLER,Police Officer,1098,2010-05-25 14:51:00,Street/Alley,18,Individual Issued Mace,Officers Actions within Policy,,
201111-0044,TIMOTHY D KELLER,Police Officer,1098,2011-10-24 20:40:00,Private Residence or Property,18,Striking Weapon,Officers Actions within Policy,,
200402-0004,MARVIN L RAPENPORT,Police Officer,1102,2004-01-27 7:35:00,Private Residence or Property,9,Individual Issued Mace,Officers Actions within Policy,,
200404-0053,MARVIN L RAPENPORT,Police Officer,1102,2004-04-02 12:07:00,Private Residence or Property,9,Injury during arrest,Officers Actions within Policy,,
200105-0019,ROBERT B SCHULER,Police Officer,1104,2001-01-03 21:11:00,Street/Alley,2,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200110-0073,ROBERT B SCHULER,Police Officer,1104,2001-10-04 20:36:00,Street/Alley,2,Individual Issued Mace,Officers Actions within Policy,,
200203-0157,ROBERT B SCHULER,Police Officer,1104,2002-01-14 19:44:00,Private Residence or Property,7,Individual Issued Mace,Officers Actions within Policy,,
200203-0157,ROBERT B SCHULER,Police Officer,1104,2002-01-14 19:44:00,Private Residence or Property,7,Injury during arrest,Officers Actions within Policy,,
200204-0226,ROBERT B SCHULER,Police Officer,1104,2002-04-21 1:00:00,Street/Alley,4,Chemical Agent ordnance (Tactical Unit),Officers Actions within Policy,,
200209-0193,ROBERT B SCHULER,Police Officer,1104,2002-09-15 1:28:00,Private Residence or Property,3,Individual Issued Mace,Officers Actions within Policy,,
200211-0068,ROBERT B SCHULER,Police Officer,1104,2002-11-02 2:42:00,Bar,3,Individual Issued Mace,Officers Actions within Policy,,
200302-0111,ROBERT B SCHULER,Police Officer,1104,2003-01-28 1:47:00,Private Residence or Property,3,Injury during arrest,Officers Actions within Policy,,
200506-0046,ROBERT B SCHULER,Police Officer,1104,2005-04-10 1:29:00,Private Residence or Property,7,Striking Hands / Feet,Officers Actions within Policy,,
200604-0157,ROBERT B SCHULER,Police Officer,1104,2006-04-15 11:25:00,Private Residence or Property,7,Injury during arrest,Officers Actions within Policy,,
200902-0142,ROBERT B SCHULER,Police Officer,1104,2009-02-23 8:55:00,Street/Alley,14,Handling of Prisoner,Unfounded,,
200905-0035,ROBERT B SCHULER,Police Officer,1104,2009-04-21 21:42:00,Business Building Or Property,11,Injury during arrest,Officers Actions within Policy,,
200906-0123,ROBERT B SCHULER,Police Officer,1104,2009-05-15 12:42:00,Private Residence or Property,14,Injury during arrest,Officers Actions within Policy,,
201009-0289,ROBERT B SCHULER,Police Officer,1104,2010-09-06 9:15:00,Private Residence or Property,14,Force,Unfounded,,
201310-0115,ROBERT B SCHULER,Police Officer,1104,2013-08-28 14:39:00,Street/Alley,11,Injury during arrest,Officers Actions within Policy,,
201403-0138,ROBERT B SCHULER,Police Officer,1104,2013-12-16 12:12:00,Public Building or Property,11,Striking Hands / Feet,Officers Actions within Policy,,
201403-0138,ROBERT B SCHULER,Police Officer,1104,2013-12-16 12:12:00,Public Building or Property,11,Injury during arrest,Officers Actions within Policy,,
201403-0182,ROBERT B SCHULER,Police Officer,1104,2014-02-27 9:15:00,Public Building or Property,11,Injury during arrest,Officers Actions within Policy,,
201404-0020,ROBERT B SCHULER,Police Officer,1104,2014-03-18 12:10:00,Public Building or Property,11,Injury during arrest,Officers Actions within Policy,,
201502-0193,ROBERT B SCHULER,Police Officer,1104,2014-12-12 2:35:00,Public Building or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200407-0079,JOSEPH W SMITH,Police Officer,1105,2004-07-02 23:00:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
200904-0049,GEORGE A PERKINS,Police Officer,1108,2009-03-16 14:57:00,Police Vehicle,13,Injury after arrest (transporting / processing),Officers Actions within Policy,,
200904-0284,GEORGE A PERKINS,Police Officer,1108,2009-04-24 21:18:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200912-0226,GEORGE A PERKINS,Police Officer,1108,2009-12-13 19:53:00,Street/Alley,11,Injury during arrest,Officers Actions within Policy,,
201007-0181,GEORGE A PERKINS,Police Officer,1108,2010-06-28 18:08:00,Street/Alley,13,Injury during arrest,Officers Actions within Policy,,
201207-0015,GEORGE A PERKINS,Police Officer,1108,2012-07-07 0:05:00,Street/Alley,16,Firearm Used,Pending,,
201210-0205,GEORGE A PERKINS,Police Officer,1108,2012-10-20 18:06:00,Street/Alley,11,Force,Unfounded,,
201404-0021,GEORGE A PERKINS,Police Officer,1108,2014-01-28 18:30:00,Private Residence or Property,11,Striking Hands / Feet,Officers Actions within Policy,,
201404-0021,GEORGE A PERKINS,Police Officer,1108,2014-01-28 18:30:00,Private Residence or Property,11,Injury during arrest,Officers Actions within Policy,,
201404-0079,GEORGE A PERKINS,Police Officer,1108,2014-03-21 15:11:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
201404-0164,GEORGE A PERKINS,Police Officer,1108,2014-04-22 20:00:00,Street/Alley,11,Force,Pending,Suspension,
201404-0164,GEORGE A PERKINS,Police Officer,1108,2014-04-22 20:00:00,Street/Alley,11,Force,Pending,Written Reprimand,
201404-0164,GEORGE A PERKINS,Police Officer,1108,2014-04-22 20:00:00,Street/Alley,11,Force,Pending,Suspension,
200409-0052,LOWELL T TITUS,Police Officer,1122,2004-09-02 9:28:00,Street/Alley,10,Individual Issued Mace,Officers Actions within Policy,,
201103-0236,CHARLES R JOYCE,Police Officer,1123,2011-02-23 18:00:00,Private Residence or Property,5,Injury during arrest,Officers Actions within Policy,,
201207-0127,EDWARD W GERO,Police Officer,1125,2012-07-19 18:36:00,Private Residence or Property,17,Force,Unfounded,,
201406-0217,EDWARD W GERO,Police Officer,1125,2014-03-12 20:10:00,Private Residence or Property,8,Striking Weapon,Officers Actions within Policy,,
201406-0217,EDWARD W GERO,Police Officer,1125,2014-03-12 20:10:00,Private Residence or Property,8,Injury during arrest,Officers Actions within Policy,,
201406-0264,EDWARD W GERO,Police Officer,1125,2014-05-27 19:30:00,Private Residence or Property,9,Striking Weapon,Officers Actions within Policy,,
201406-0264,EDWARD W GERO,Police Officer,1125,2014-05-27 19:30:00,Private Residence or Property,9,Injury during arrest,Officers Actions within Policy,,
200110-0101,FRANK P WASKO,Police Officer,1128,2001-09-24 3:50:00,Street/Alley,2,Injury during arrest,Officers Actions within Policy,,
200202-0118,FRANK P WASKO,Police Officer,1128,2002-02-20 2:21:00,Police Vehicle,2,Individual Issued Mace,Officers Actions within Policy,,
200205-0112,FRANK P WASKO,Police Officer,1128,2002-04-04 0:15:00,Business Building Or Property,2,Force,Unfounded,,
200205-0230,FRANK P WASKO,Police Officer,1128,2002-05-21 22:20:00,Street/Alley,2,Individual Issued Mace,Officers Actions within Policy,,
200208-0103,FRANK P WASKO,Police Officer,1128,2002-08-06 9:35:47,Private Residence or Property,2,Individual Issued Mace,Officers Actions within Policy,,
200306-0030,FRANK P WASKO,Police Officer,1128,2003-06-07 6:00:00,Private Residence or Property,18,Force,Not Sustained,,
200701-0174,FRANK P WASKO,Police Officer,1128,2006-12-02 19:54:00,Police Vehicle,18,Individual Issued Mace,Officers Actions within Policy,,
200702-0017,FRANK P WASKO,Police Officer,1128,2007-02-03 21:30:00,Private Residence or Property,2,Firearm Used,Officers Actions within Policy,,
200702-0197,FRANK P WASKO,Police Officer,1128,2006-11-24 20:35:00,Street/Alley,2,Striking Hands / Feet,Officers Actions within Policy,,
200707-0255,FRANK P WASKO,Police Officer,1128,2007-07-08 22:50:00,Private Residence or Property,2,Striking Hands / Feet,Officers Actions within Policy,,
200710-0005,FRANK P WASKO,Police Officer,1128,2007-09-23 21:10:00,Private Residence or Property,2,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200712-0219,FRANK P WASKO,Police Officer,1128,2007-12-17 23:45:00,Street/Alley,18,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200802-0070,FRANK P WASKO,Police Officer,1128,2008-02-05 19:05:00,Street/Alley,F,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200805-0014,FRANK P WASKO,Police Officer,1128,2008-02-05 19:00:00,Street/Alley,7,Force,Unfounded per Article 8.12,,
200805-0235,FRANK P WASKO,Police Officer,1128,2008-05-20 21:55:00,Private Residence or Property,8,Striking Hands / Feet,Officers Actions within Policy,,
200808-0136,FRANK P WASKO,Police Officer,1128,2008-08-15 22:30:00,Street/Alley,2,Force,Unfounded,,
200808-0182,FRANK P WASKO,Police Officer,1128,2008-08-17 20:00:00,Street/Alley,2,Force,Unfounded,,
200808-0286,FRANK P WASKO,Police Officer,1128,2008-08-10 21:43:00,Private Residence or Property,5,Striking Hands / Feet,Officers Actions within Policy,,
200809-0054,FRANK P WASKO,Police Officer,1128,2008-08-20 1:55:00,Private Residence or Property,2,Striking Hands / Feet,Officers Actions within Policy,,
200810-0101,FRANK P WASKO,Police Officer,1128,2008-09-18 17:21:00,Street/Alley,18,Individual Issued Mace,Officers Actions within Policy,,
200812-0101,FRANK P WASKO,Police Officer,1128,2008-11-18 3:08:00,Street/Alley,2,Striking Hands / Feet,Officers Actions within Policy,,
200812-0101,FRANK P WASKO,Police Officer,1128,2008-11-18 3:08:00,Street/Alley,2,Striking Weapon,Officers Actions within Policy,,
200903-0042,FRANK P WASKO,Police Officer,1128,2009-01-16 20:21:00,Private Residence or Property,2,Injury during arrest,Officers Actions within Policy,,
200906-0033,FRANK P WASKO,Police Officer,1128,2009-05-16 15:20:00,Private Residence or Property,5,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200906-0096,FRANK P WASKO,Police Officer,1128,2009-06-02 13:16:47,Street/Alley,7,Force,Unfounded,,
200906-0096,FRANK P WASKO,Police Officer,1128,2009-06-02 13:16:47,Street/Alley,7,Injury during arrest,Officers Actions within Policy,,
200909-0145,FRANK P WASKO,Police Officer,1128,2009-08-06 18:51:00,Street/Alley,7,Striking Hands / Feet,Officers Actions within Policy,,
201204-0098,FRANK P WASKO,Police Officer,1128,2012-04-06 18:00:00,Street/Alley,12,Striking Hands / Feet,Officers Actions within Policy,,
201204-0098,FRANK P WASKO,Police Officer,1128,2012-04-06 18:00:00,Street/Alley,12,Force,Unfounded,,
201204-0098,FRANK P WASKO,Police Officer,1128,2012-04-06 18:00:00,Street/Alley,12,Injury during arrest,Officers Actions within Policy,,
201211-0034,FRANK P WASKO,Police Officer,1128,2012-10-14 1:43:00,Private Residence or Property,1,Individual Issued Mace,Officers Actions within Policy,,
201211-0149,FRANK P WASKO,Police Officer,1128,2012-11-25 1:45:00,Bar,1,Force,Not Sustained,Documented Constructive Counseling,
201211-0149,FRANK P WASKO,Police Officer,1128,2012-11-25 1:45:00,Bar,1,Force,Not Sustained,Documented Constructive Counseling,
201211-0149,FRANK P WASKO,Police Officer,1128,2012-11-25 1:45:00,Bar,1,Force,Unfounded,Documented Constructive Counseling,
201211-0149,FRANK P WASKO,Police Officer,1128,2012-11-25 1:45:00,Bar,1,Force,Unfounded,Documented Constructive Counseling,
201309-0153,FRANK P WASKO,Police Officer,1128,2013-08-03 1:00:00,Bar,1,Individual Issued Mace,Officers Actions within Policy,,
201501-0131,FRANK P WASKO,Police Officer,1128,2014-09-12 16:15:00,Business Building Or Property,6,Injury during arrest,Officers Actions within Policy,,
201507-1013,FRANK P WASKO,Police Officer,1128,2015-07-11 16:00:00,Business Building or Property,6,Force,Unfounded,,
200111-0100,HARRY E CORMACK,Police Officer,1129,2001-11-13 0:15:00,Street/Alley,19,Individual Issued Mace,Officers Actions within Policy,,
200203-0019,HARRY E CORMACK,Police Officer,1129,2002-03-01 3:29:00,Street/Alley,19,Individual Issued Mace,Officers Actions within Policy,,
200212-0086,HARRY E CORMACK,Police Officer,1129,2002-11-23 2:00:00,Street/Alley,4,Chemical Agent ordnance (Field Force),Officers Actions within Policy,,
200306-0222,HARRY E CORMACK,Police Officer,1129,2003-04-17 4:47:00,Street/Alley,8,Individual Issued Mace,Officers Actions within Policy,,
200403-0061,HARRY E CORMACK,Police Officer,1129,2004-02-12 3:16:00,Business Building Or Property,19,Individual Issued Mace,Officers Actions within Policy,,
200510-0065,HARRY E CORMACK,Police Officer,1129,2005-09-28 23:50:00,Private Residence or Property,10,Individual Issued Mace,Officers Actions within Policy,,
200603-0115,HARRY E CORMACK,Police Officer,1129,2006-03-07 23:49:00,Street/Alley,19,Individual Issued Mace,Officers Actions within Policy,,
200305-0063,DOUGLAS G ECKHART,Police Officer,1130,2003-04-13 23:00:00,Street/Alley,4,Force,Unfounded,,
200609-0085,DOUGLAS G ECKHART,Police Officer,1130,2006-07-30 1:25:00,Private Residence or Property,8,Individual Issued Mace,Officers Actions within Policy,,
200901-0029,DOUGLAS G ECKHART,Police Officer,1130,2008-12-27 1:50:00,Business Building Or Property,19,Individual Issued Mace,Officers Actions within Policy,,
200908-0226,DOUGLAS G ECKHART,Police Officer,1130,2009-08-09 23:55:00,Public Building or Property,14,Injury during arrest,Officers Actions within Policy,,
201404-0149,DOUGLAS G ECKHART,Police Officer,1130,2014-04-13 1:50:00,Business Building Or Property,19,Force,Withdrawn,,
201108-0024,CHARLES R GORDON,Police Officer,1132,2011-06-12 2:59:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
201308-0112,ERIK R STODDARD,Police Officer,1133,2013-07-19 3:36:00,Public Building or Property,15,"Injury during contact with officers, no arrest made",Officers Actions within Policy,,
201706-1026,ERIK R STODDARD,Police Officer,1133,2017-06-21 2:02:00,Street / Alley,15,Force,Unfounded,,
201706-1026,ERIK R STODDARD,Police Officer,1133,2017-06-21 2:02:00,Street / Alley,15,Handling of Prisoner,Unfounded,,
200209-0104,RITA GREEN,Police Officer,1135,2002-09-15 2:35:00,Bar,3,Force,Unfounded,,
200412-0121,RITA GREEN,Police Officer,1135,2004-12-07 21:10:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200107-0018,JAMES J DAY,Police Officer,1141,2001-06-08 13:30:00,Street/Alley,16,Force,Unfounded,,
200611-0186,JACOB J DAY,Police Officer,1142,2006-11-22 21:28:00,Street/Alley,12,Individual Issued Mace,Officers Actions within Policy,,
200903-0299,JACOB J DAY,Police Officer,1142,2009-03-26 14:30:00,Private Residence or Property,8,Force,Unfounded,,
201404-0085,JACOB J DAY,Police Officer,1142,2014-02-06 17:05:00,Private Residence or Property,8,Injury during arrest,Officers Actions within Policy,,
200108-0081,HEATH A JOHNSON,Police Officer,1143,2001-07-29 11:06:00,Street/Alley,1,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200206-0069,HEATH A JOHNSON,Police Officer,1143,2002-05-15 1:23:00,Street/Alley,5,Striking Hands / Feet,Officers Actions within Policy,,
200206-0069,HEATH A JOHNSON,Police Officer,1143,2002-05-15 1:23:00,Street/Alley,5,Striking Weapon,Officers Actions within Policy,,
200210-0224,HEATH A JOHNSON,Police Officer,1143,2002-10-09 1:16:00,Street/Alley,19,Individual Issued Mace,Officers Actions within Policy,,
200304-0042,HEATH A JOHNSON,Police Officer,1143,2003-04-07 23:48:00,Street/Alley,12,Force,Unfounded,,
200304-0042,HEATH A JOHNSON,Police Officer,1143,2003-04-07 23:48:00,Street/Alley,12,Individual Issued Mace,Officers Actions within Policy,,
200304-0042,HEATH A JOHNSON,Police Officer,1143,2003-04-07 23:48:00,Street/Alley,12,Injury during arrest,Officers Actions within Policy,,
200406-0034,HEATH A JOHNSON,Police Officer,1143,2004-04-13 2:52:00,Private Residence or Property,4,Striking Hands / Feet,Officers Actions within Policy,,
200406-0034,HEATH A JOHNSON,Police Officer,1143,2004-04-13 2:52:00,Private Residence or Property,4,Striking Weapon,Officers Actions within Policy,,
200406-0034,HEATH A JOHNSON,Police Officer,1143,2004-04-13 2:52:00,Private Residence or Property,4,Injury during arrest,Officers Actions within Policy,,
200502-0087,HEATH A JOHNSON,Police Officer,1143,2005-01-11 3:40:00,Street/Alley,1,Striking Hands / Feet,Officers Actions within Policy,,
200503-0122,HEATH A JOHNSON,Police Officer,1143,2005-02-19 4:05:00,Public Building or Property,1,Striking Hands / Feet,Officers Actions within Policy,,
200503-0122,HEATH A JOHNSON,Police Officer,1143,2005-02-19 4:05:00,Public Building or Property,1,Striking Weapon,Officers Actions within Policy,,
200503-0122,HEATH A JOHNSON,Police Officer,1143,2005-02-19 4:05:00,Public Building or Property,1,Injury during arrest,Officers Actions within Policy,,
200606-0085,HEATH A JOHNSON,Police Officer,1143,2006-05-30 19:15:00,Police Vehicle,11,Individual Issued Mace,Officers Actions within Policy,,
200606-0179,HEATH A JOHNSON,Police Officer,1143,2006-06-04 6:41:00,Private Residence or Property,11,Injury during arrest,Officers Actions within Policy,,
200610-0206,HEATH A JOHNSON,Police Officer,1143,2006-10-05 16:11:00,Private Residence or Property,11,Striking Hands / Feet,Officers Actions within Policy,,
200610-0206,HEATH A JOHNSON,Police Officer,1143,2006-10-05 16:11:00,Private Residence or Property,11,Striking Weapon,Officers Actions within Policy,,
200701-0066,HEATH A JOHNSON,Police Officer,1143,2006-12-13 19:34:00,Street/Alley,11,Striking Hands / Feet,Officers Actions within Policy,,
200708-0213,HEATH A JOHNSON,Police Officer,1143,2007-08-21 22:30:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200712-0113,HEATH A JOHNSON,Police Officer,1143,2007-12-10 14:43:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200803-0031,HEATH A JOHNSON,Police Officer,1143,2008-03-03 15:04:00,Street/Alley,13,Injury during arrest,Officers Actions within Policy,,
200808-0220,HEATH A JOHNSON,Police Officer,1143,2008-07-23 20:15:00,Private Residence or Property,11,Striking Hands / Feet,Officers Actions within Policy,,
200103-0040,RICKY R ANDERSON,Police Officer,1144,2001-02-06 4:22:00,Private Residence or Property,7,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200109-0103,RICKY R ANDERSON,Police Officer,1144,2001-09-13 2:30:00,Police Headquarters,H,Individual Issued Mace,Officers Actions within Policy,,
200202-0024,RICKY R ANDERSON,Police Officer,1144,2001-02-12 23:29:00,Police Vehicle,7,Individual Issued Mace,Officers Actions within Policy,,
200205-0017,RICKY R ANDERSON,Police Officer,1144,2002-04-30 0:20:00,Street/Alley,7,Individual Issued Mace,Officers Actions within Policy,,
200205-0125,RICKY R ANDERSON,Police Officer,1144,2002-05-10 0:45:00,Street/Alley,7,Individual Issued Mace,Officers Actions within Policy,,
200508-0030,RICKY R ANDERSON,Police Officer,1144,2005-07-30 22:25:00,Street/Alley,7,Striking Hands / Feet,Officers Actions within Policy,,
200508-0052,RICKY R ANDERSON,Police Officer,1144,2005-07-30 22:30:00,Business Building Or Property,7,Force,Unfounded,,
200511-0164,RICKY R ANDERSON,Police Officer,1144,2005-08-03 23:33:00,Private Residence or Property,7,Injury during arrest,Officers Actions within Policy,,
200705-0167,RICKY R ANDERSON,Police Officer,1144,2007-05-06 1:08:00,Street/Alley,7,Striking Hands / Feet,Officers Actions within Policy,,
200709-0218,RICKY R ANDERSON,Police Officer,1144,2007-09-06 0:14:00,Private Residence or Property,7,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200802-0037,RICKY R ANDERSON,Police Officer,1144,2008-02-05 20:34:00,Street/Alley,7,Individual Issued Mace,Officers Actions within Policy,,
200802-0232,RICKY R ANDERSON,Police Officer,1144,2008-02-28 5:05:00,Street/Alley,7,Force,Unfounded,,
201010-0129,RICKY R ANDERSON,Police Officer,1144,2010-09-24 18:48:00,Private Residence or Property,8,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
201208-0127,RICKY R ANDERSON,Police Officer,1144,2012-05-07 13:59:00,Street/Alley,11,Injury during arrest,Officers Actions within Policy,,
201210-0040,RICKY R ANDERSON,Police Officer,1144,2012-09-03 1:35:00,Bar,16,Injury during arrest,Officers Actions within Policy,,
201404-0044,RICKY R ANDERSON,Police Officer,1144,2014-03-17 23:30:00,Public Building or Property,1,Injury during arrest,Officers Actions within Policy,,
